date,amount,account_name,message,vs
2026-08-21,-83.48,Finančné riaditeľstvo Slovenskej republiky,DPH jul 2026 - TÚ,1100072026.0
2026-08-19,-1.18,,"/VS3082586396/SS/KS 19.08.2026 294,76 EUR",
2026-08-19,-294.76,"SLOVNAFT, a.s., IČO: 31322832",PHM,3082586396.0
2026-08-11,-20.28,,"/VS2026025/SS/KS0308 11.08.2026 5068,83 EUR",
2026-08-11,-5068.83,"Proficreas, s. r. o., IČO: 50141520",Grafické práce,2026025.0
2026-08-11,-3.06,,"/VS262000120/SS/KS 11.08.2026 766,00 EUR",
2026-08-11,-766.0,"Akadémia +, s.r.o., IČO:52709981","prenájom, občerstvenie",262000120.0
2026-08-05,-1.94,,"/VS3082576428/SS/KS 05.08.2026 483,93 EUR",
2026-08-05,-483.93,"SLOVNAFT, a.s., IČO: 31322832",PHM,3082576428.0
2026-07-31,-0.02,,"/VS/SS/KS0898 31.07.2026 5,00 EUR",
2026-07-31,-5.0,,Zverejňovanie účtu,
2026-07-31,-0.02,,"/VS/SS/KS0898 31.07.2026 5,00 EUR",
2026-07-31,-5.0,,Poplatok za vedenie účtu,
2026-07-31,-0.01,,"/VS/SS/KS0898 31.07.2026 0,25 EUR",
2026-07-31,-0.25,,Poplatok za platbu kartou,
2026-07-31,-362.95,,"B2537757242-44544 17** **** 0182;Intuit Ireland Software L ,Dublin 2 ,IE ;29.07.2026 09:10:26 ;CashBack:0 EUR",
2026-07-30,-21.78,,"/VS7902605542/SS/KS 30.07.2026 5444,23 EUR",
2026-07-30,-5444.23,"IMI TRADE s.r.o., IČO: 31565531",Reklamne predmety,7902605542.0
2026-07-29,-22.14,,"/VS100260008/SS/KS 29.07.2026 5535,00 EUR",
2026-07-29,-5535.0,"PUBLISHING HOUSE, a.s. IČO:46495959",Inzercia,100260008.0
2026-07-29,-209.1,"KRUPA print BIZ,s.r.o. IČO:44527551",Tlačoviny,2026448.0
2026-07-29,-0.84,,"/VS2026448/SS/KS0308 29.07.2026 209,10 EUR",
2026-07-29,-0.84,,"/VS1660006825/SS2603067836/KS 29.07.2026 210,00 EUR",
2026-07-29,-210.0,"Mesto Žilina, IČO: 00321796",miestna daň,1660006825.0
2026-07-29,-6.45,,"/VS2026453/SS/KS0308 29.07.2026 1611,30 EUR",
2026-07-29,-1611.3,"KRUPA print BIZ,s.r.o. IČO:44527551",Tlačoviny,2026453.0
2026-07-27,-83.48,Finančné riaditeľstvo Slovenskej republiky,DPH jun 2026 - TÚ,1100062026.0
2026-07-20,-40.0,,"/VS260278/SS/KS 20.07.2026 29372,40 EUR",
2026-07-20,-29372.4,"ARTON s.r.o., IČO:31595154",OOH,260278.0
2026-07-16,-0.48,,"/VS10260019/SS/KS 16.07.2026 120,00 EUR",
2026-07-16,-120.0,"BOJU Bar, s.r.o., IČO: 52319423",prenájom miestnosti,10260019.0
2026-07-16,-0.2,,"/VS2620600147/SS/KS 16.07.2026 50,00 EUR",
2026-07-16,-50.0,"Mesto Námestovo, IČO: 00314676",miestna daň,2620600147.0
2026-07-16,-1.21,,"/VS2026418/SS/KS0308 16.07.2026 302,58 EUR",
2026-07-16,-302.58,"KRUPA print BIZ,s.r.o.,IČO:44527551",Reklamne predmety,2026418.0
2026-07-16,-10.16,,"/VS2026022/SS/KS0308 16.07.2026 2539,95 EUR",
2026-07-15,-2539.95,"Proficreas, s. r. o., IĊO: 50141520",Grafické práce,2026022.0
2026-07-09,-0.01,,"/VS/SS/KS0898 09.07.2026 0,25 EUR",
2026-07-09,-0.25,,"Poplatok za výber kartou,2203,5,4544 17** **** 0182;RATM OM Central BA ,Bratislava ,SK ;09.07.2026 14:03:37",
2026-07-09,-24.0,,"/VS/SS/KS0608 09.07.2026 3000,00 EUR",
2026-07-09,-3000.0,,"B5151732138-214544 17** **** 0182;RATM OM Central BA ,Bratislava ,SK ;09.07.2026 14:03:37 ",
2026-07-01,-2.0,,S1102759242-30Karta č. 4544 17** **** 0182Ročná daň za platobnú kartu,
2026-07-01,-0.01,,"/VS/SS/KS0898 01.07.2026 0,25 EUR",
2026-07-01,-0.25,,Poplatok za platbu kartou,
2026-07-01,-362.95,,"B2505036075-44544 17** **** 0182;Intuit Mailchimp ,Dublin 2 ,IE ;29.06.2026 09:14:35 ;CashBack:0 EUR",
2026-06-30,-0.02,,"/VS/SS/KS0898 30.06.2026 5,00 EUR",
2026-06-30,-5.0,,Zverejňovanie účtu,
2026-06-30,-0.01,,"/VS/SS/KS0898 30.06.2026 3,17 EUR",
2026-06-30,-3.17,,Poplatok za vedenie účtu,
2026-06-17,235000.0,Hnutie SLOVENSKO,Prevod na TU,
2026-06-16,-40.0,,"/VS3120262653/SS/KS 16.06.2026 11555,85 EUR",
2026-06-16,-11555.85,"AKO, s.r.o. ICO:35863781",Prieskum,3120262653.0
2026-06-16,15000.0,Hnutie SLOVENSKO,Prevod na TU,
