date,amount,account_name,message,vs
2026-09-17,-305.83,Platba kartou,Plotbase Bratislava,****5300
2026-09-17,-206.95,Platba kartou,Plotbase Bratislava,****5300
2026-09-11,-553.5,Denva s. r. o.,Uhrada faktury: 20260038,20260038
2026-08-31,-6.0,,Vedenie konta Transparentný účet,9
2026-08-12,-61.6,Platba kartou + A-pay,SHOPTET.FILM-TE Praha 4 -,****5300
2026-07-31,-6.0,,Vedenie konta Transparentný účet,9
2026-06-30,-6.0,,Vedenie konta Transparentný účet,9
2026-05-29,5.75,,Storno-popl.za platby a ved.úč/kon,9
2026-05-29,-0.75,,Poplatky za platby spolu,9
2026-05-29,-5.0,,Vedenie účtu,9
