date,amount,account_name,message,vs
2026-08-19,-1549.8,CyberSoft s.r.o.,Kampan 2026 citylighty PO,26071311
2026-08-19,-7656.75,CyberSoft s.r.o.,Kampan 2026 billboardy PO kraj,26071310
2026-08-19,-9649.35,CyberSoft s.r.o.,Kampan 2026 billboardy PO kraj,26071309
2026-08-19,30000.0,REPUBLIKA,Prevod prostriedkov na TU,
2026-08-19,-7060.2,CyberSoft s.r.o.,Kampan 2026 citylighty Nitra,26071308
2026-08-19,-1230.0,D a P slovgroup s. r. o.,Rekl plochy BB 07-09/26,126081
2026-08-17,-2132.45,Dataprint sk s.r.o.,"rekl pl, letaky a tricka Suja",2026059
2026-08-17,-664.2,"NUBIUM, s. r. o.",Rekl plochy a tlac plagatov 08/26,2610004749
2026-08-17,-624.84,Dataprint sk s.r.o.,Bannery Suja,2026057
2026-08-05,-231.18,,Transakčná daň za transakcie,999
