index,account_name,date,amount,currency,message,tx_type,vs,ss
0,,2026-06-30,-0.02,EUR,"/VS/SS/KS0898 30.06.2026 5,00 EUR","Transakčná daň (z poplatkov, úrokov)",,
1,,2026-06-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
2,,2026-06-30,-0.02,EUR,"/VS/SS/KS0898 30.06.2026 5,00 EUR","Transakčná daň (z poplatkov, úrokov)",,
3,,2026-06-30,-5.0,EUR,Poplatok za vedenie účtu,Poplatok,,
4,,2026-06-30,-40.0,EUR,"/20260607/SS/KS 30.06.2026 18726,75 EUR",Transakčná daň,,
5,Sophia Entertainment s.r.o.,2026-06-30,-18726.75,EUR,FD-878-billboardy,SEPA platba (elektronicky),,
6,,2026-06-18,-0.11,EUR,"/VS2922600036/SS/KS 18.06.2026 27,00 EUR",Transakčná daň,,
7,Mesto Bardejov,2026-06-18,-27.0,EUR,FD-859-dan za uzivanie verejneho priestranstva,SEPA platba (elektronicky),2922600036.0,
8,,2026-06-16,-36.0,EUR,"/VS260001/SS/KS 16.06.2026 9000,00 EUR",Transakčná daň,,
9,BAUER TRADE s.r.o.,2026-06-16,-9000.0,EUR,Zalohova c.30 - bilboardy,SEPA platba (elektronicky),260001.0,
10,,2026-05-31,-0.02,EUR,"/VS/SS/KS0898 31.05.2026 5,00 EUR","Transakčná daň (z poplatkov, úrokov)",,
11,,2026-05-31,-5.0,EUR,Poplatok za vedenie účtu,Poplatok,,
12,,2026-05-31,-0.02,EUR,"/VS/SS/KS0898 31.05.2026 5,00 EUR","Transakčná daň (z poplatkov, úrokov)",,
13,,2026-05-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
14,,2026-04-30,-0.02,EUR,"/VS/SS/KS0898 30.04.2026 5,00 EUR","Transakčná daň (z poplatkov, úrokov)",,
15,,2026-04-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
16,,2026-04-30,-0.02,EUR,"/VS/SS/KS0898 30.04.2026 5,00 EUR","Transakčná daň (z poplatkov, úrokov)",,
17,,2026-04-30,-5.0,EUR,Poplatok za vedenie účtu,Poplatok,,
18,,2026-03-31,-0.02,EUR,"/VS/SS/KS0898 31.03.2026 5,00 EUR","Transakčná daň (z poplatkov, úrokov)",,
19,,2026-03-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
20,,2026-03-31,-0.01,EUR,"/VS/SS/KS0898 31.03.2026 1,45 EUR","Transakčná daň (z poplatkov, úrokov)",,
21,,2026-03-31,-1.45,EUR,Poplatok za vedenie účtu,Poplatok,,
22,SMER - sociálna demokracia,2026-03-24,160000.0,EUR,Prevod z bezneho uctu SMER-SD,Prijatá SEPA platba,24032026.0,
23,SMER - sociálna demokracia,2026-03-24,160000.0,EUR,Prevod z bezneho uctu SMER-SD,Prijatá SEPA platba,24032026.0,
24,SMER - sociálna demokracia,2026-03-24,160000.0,EUR,Prevod z bezneho uctu SMER-SD,Prijatá SEPA platba,24032026.0,
25,SMER - sociálna demokracia,2026-03-24,120000.0,EUR,Prevod z bezneho uctu SMER-SD,Prijatá SEPA platba,24032026.0,
26,SMER - sociálna demokracia,2026-03-24,10.0,EUR,Vklad z bezneho uctu SMER-SD,Prijatá SEPA platba,24032026.0,
